"category","Fair health","Poor health","Harmful Guards","Helpful Guards","Sidewalk Damage","rootstone","rootgrate","rootother","trunkwire","trnklight","trnkother","brchlight","brchshoe","brchother"
Alder,0.297297297297297,0.027027027027027,0,0,0.108108108108108,0.918918918918919,1,1,0,1,1,0.972972972972973,1,0.945945945945946
Amur Maackia,0.148005148005148,0.0604890604890605,0,0,0.188545688545689,0.913770913770914,0.999356499356499,0.965250965250965,0,0.997425997425997,0.959459459459459,0.918275418275418,1,0.963963963963964
Apple,0.145825009988014,0.045145825009988,0,0,0.130243707550939,0.93527766679984,0.997203355972833,0.974430683180184,0,0.998401917698762,0.958449860167799,0.949260886935677,0.99960047942469,0.974830203755493
Arborvitae,0.0473933649289099,0.028436018957346,0,0,0.146919431279621,0.976303317535545,1,0.981042654028436,0,1,0.981042654028436,1,1,0.995260663507109
Ash,0.186957541637345,0.0369849089060912,0,0,0.357025568848229,0.725310813980765,0.99804519508953,0.950817108452576,0,0.997888810696692,0.936664320900774,0.850574712643678,0.998983501446556,0.956837907576824
Beech,0.180147058823529,0.0735294117647059,0,0,0.147058823529412,0.908088235294118,0.996323529411765,0.959558823529412,0,1,0.970588235294118,0.959558823529412,1,0.955882352941177
Birch,0.182174338883448,0.059745347698335,0,0,0.16356513222331,0.93437806072478,0.998041136141038,0.965719882468168,0,0.999020568070519,0.94613124387855,0.937316356513222,1,0.969637610186092
Buckeye,0.220028208744711,0.107193229901269,0,0,0.231311706629055,0.842031029619182,0.998589562764457,0.968970380818054,0,1,0.929478138222849,0.882933709449929,1,0.949224259520451
Catalpa,0.249221183800623,0.0841121495327103,0,0,0.227414330218069,0.869158878504673,1,0.956386292834891,0,1,0.903426791277259,0.828660436137072,1,0.965732087227414
Cedar,0.165137614678899,0.0948012232415902,0,0,0.119266055045872,0.960244648318043,1,0.99388379204893,0,0.996941896024465,0.984709480122324,0.972477064220184,1,0.978593272171254
Cherry,0.146862294502386,0.0545165281951564,0,0,0.147993636202934,0.933887219374227,0.99784337988333,0.973554887749691,0,0.998974721583878,0.962382888456779,0.905285487007248,0.999681810146721,0.976241824288492
Chestnut,0.142857142857143,0.0150375939849624,0,0,0.218045112781955,0.87218045112782,1,0.962406015037594,0,0.984962406015038,0.924812030075188,0.917293233082707,1,0.962406015037594
Cork Tree,0.238095238095238,0.163265306122449,0,0,0.258503401360544,0.870748299319728,1,0.959183673469388,0,1,0.965986394557823,0.952380952380952,1,0.986394557823129
Cottonwood,0.196374622356495,0.0785498489425982,0,0,0.256797583081571,0.779456193353474,1,0.930513595166163,0,0.996978851963746,0.936555891238671,0.876132930513595,0.996978851963746,0.954682779456193
Crepe Myrtle,0.147410358565737,0.0557768924302789,0,0,0.119521912350598,0.972111553784861,0.99601593625498,0.952191235059761,0,1,0.98406374501992,0.960159362549801,1,0.968127490039841
Cypress,0.132973944294699,0.0835579514824798,0,0,0.193171608265948,0.952380952380952,1,0.981132075471698,0,0.999101527403414,0.982030548068284,0.991015274034142,1,0.979335130278526
Dawn Redwood,0.156939676311918,0.0814124570868073,0,0,0.182442373712604,0.93281020107896,0.997547817557626,0.978911230995586,0,0.998528690534576,0.97106424717999,0.986267778322707,1,0.964198136341344
Dogwood,0.191186440677966,0.0677966101694915,0,0,0.151186440677966,0.929491525423729,0.99864406779661,0.96135593220339,0,0.99728813559322,0.951186440677966,0.924745762711864,1,0.966779661016949
Douglas-Fir,0.0816326530612245,0.0204081632653061,0,0,0.0612244897959184,0.979591836734694,1,1,0,1,0.979591836734694,0.979591836734694,1,1
Eastern Redcedar,0.10443864229765,0.0404699738903394,0,0,0.142297650130548,0.945169712793734,1,0.980417754569191,0,0.998694516971279,0.977806788511749,0.969973890339426,1,0.976501305483029
Elm,0.164268282420264,0.0338298409492552,0,0,0.216780274341496,0.837162332744257,0.995876462172852,0.954641083901372,0,0.998737692501893,0.952873853404023,0.953210468736851,0.999663384667172,0.96019523689304
Fringetree,0.110497237569061,0.0220994475138122,0,0,0.176795580110497,0.955801104972376,1,0.994475138121547,0,1,0.977900552486188,0.972375690607735,1,0.988950276243094
Ginkgo,0.145153125790939,0.0629587446216148,0,0,0.257466464186282,0.822513287775247,0.978106808402936,0.951404707668945,0,0.996772968868641,0.920906099721589,0.946089597570235,0.999050873196659,0.94874715261959
Golden Raintree,0.158066860465116,0.0392441860465116,0,0,0.167151162790698,0.918241279069767,0.996729651162791,0.978197674418605,0,0.999273255813954,0.973473837209302,0.934956395348837,1,0.962936046511628
Hackberry,0.179555084745763,0.0593220338983051,0,0,0.221398305084746,0.875529661016949,0.999470338983051,0.955508474576271,0,0.998411016949153,0.960275423728814,0.951271186440678,0.999470338983051,0.966101694915254
Hardy Rubber Tree,0.150242326332795,0.0823909531502423,0,0,0.184168012924071,0.959612277867528,0.996768982229402,0.991922455573506,0,1,0.975767366720517,0.990306946688207,1,0.974151857835218
Hawthorn,0.169957413859853,0.0723964382500968,0,0,0.126596980255517,0.959736740224545,1,0.978319783197832,0,0.99961285327139,0.967092528068138,0.963221060782036,1,0.967866821525358
Hemlock,0.257575757575758,0.136363636363636,0,0,0.227272727272727,0.96969696969697,1,0.96969696969697,0,1,0.909090909090909,0.96969696969697,1,0.96969696969697
Hickory,0.206349206349206,0.0476190476190476,0,0,0.174603174603175,0.857142857142857,1,0.936507936507937,0,1,0.904761904761905,0.841269841269841,1,0.968253968253968
Holly,0.125,0.0520833333333333,0,0,0.166666666666667,0.9375,1,0.96875,0,1,0.958333333333333,0.989583333333333,1,0.916666666666667
Hophornbeam,0.165195460277427,0.0617906683480454,0,0,0.184110970996217,0.891551071878941,1,0.962168978562421,0,0.998738965952081,0.943253467843632,0.94577553593947,0.998738965952081,0.968474148802018
Hornbeam,0.158327376697641,0.0782701929949964,0,0,0.156897784131523,0.93638313080772,0.998213009292352,0.973909935668335,0,0.998570407433881,0.960686204431737,0.954610436025733,0.99964260185847,0.973909935668335
Japanese Snowbell,0.18695652173913,0.126086956521739,0,0,0.173913043478261,0.956521739130435,1,0.978260869565217,0,1,0.960869565217391,0.943478260869565,1,0.969565217391304
Katsura,0.249544626593807,0.140255009107468,0,0,0.163934426229508,0.936247723132969,0.983606557377049,0.974499089253188,0,1,0.958105646630237,0.970856102003643,0.998178506375228,0.959927140255009
Kentucky Coffeetree,0.135371179039301,0.0492258832870187,0,0,0.169908693926161,0.924573243350536,0.998809051210798,0.971417229059151,0,0.997618102421596,0.973402143707821,0.974990075426757,0.999603017070266,0.966653433902342
Larch,0.166666666666667,0.0277777777777778,0,0,0.333333333333333,0.916666666666667,1,0.944444444444444,0,1,1,0.944444444444444,1,0.944444444444444
Linden,0.17394531365971,0.0681352611109462,0,0,0.284832111153995,0.783689101327079,0.990351215746816,0.944215182733129,0,0.998159308850162,0.93492266128314,0.930320933408544,0.999465605795208,0.952943621411394
Locust,0.144633081012708,0.0207917465462379,0,0,0.346621341186236,0.717908176374093,0.980670790758345,0.925983753977509,0,0.996185544597506,0.942150720398443,0.914085815364547,0.998043362254679,0.935845998774631
Magnolia,0.118440779610195,0.0659670164917541,0,0,0.152923538230885,0.922038980509745,0.99400299850075,0.967016491754123,0,1,0.967016491754123,0.949025487256372,1,0.961019490254873
Maple,0.227267707259608,0.0874134884405831,0,0,0.301667648358121,0.762498159328523,0.998601089677514,0.93728832278015,0,0.99876675011044,0.937435576498307,0.851641878957444,0.99959505227507,0.963628331615373
Mimosa,0.180327868852459,0.040983606557377,0,0,0.147540983606557,0.918032786885246,1,0.967213114754098,0,1,0.959016393442623,0.950819672131147,1,0.950819672131147
Mulberry,0.23352435530086,0.0644699140401146,0,0,0.256446991404011,0.790830945558739,0.998567335243553,0.924068767908309,0,0.998567335243553,0.906876790830946,0.873925501432665,0.998567335243553,0.941260744985673
Oak,0.14837614094672,0.0312566334111654,0,0,0.300643883110451,0.759587490270997,0.995506969503998,0.949692209721927,0,0.998761763249133,0.953017759852827,0.934974881483054,0.999239368853039,0.955087384136418
Osage Orange,0.136363636363636,0,0,0,0.0909090909090909,0.954545454545455,1,1,0,1,0.954545454545455,0.954545454545455,1,1
Parrotia,0.23841059602649,0.0529801324503311,0,0,0.105960264900662,0.993377483443709,1,0.940397350993378,0,1,0.947019867549669,0.973509933774834,1,0.940397350993378
Pear,0.158786480972235,0.0400292734853189,0,0,0.217422159141311,0.860285638250687,0.985585026168722,0.965204470859576,0,0.996540406280493,0.955690588130932,0.899716135899938,0.999401224163932,0.953295484786658
Pine,0.14390243902439,0.0463414634146341,0,0,0.134146341463415,0.939024390243902,1,0.953658536585366,0,1,0.963414634146341,0.94390243902439,1,0.946341463414634
Planetree,0.167797263441896,0.0358835999229139,0,0,0.379302370398921,0.664424744652149,0.997186355752553,0.940161880901908,0,0.999171323954519,0.935305453844671,0.861399113509347,0.999094237810754,0.959279244555791
Redbud,0.164100769769069,0.079776067179846,0,0,0.143806857942617,0.960811756473058,1,0.985304408677397,0,0.998600419874038,0.959412176347096,0.934569629111267,0.999650104968509,0.964660601819454
Sassafras,0.203883495145631,0.0970873786407767,0,0,0.252427184466019,0.805825242718447,0.990291262135922,0.922330097087379,0,1,0.932038834951456,0.932038834951456,0.990291262135922,0.932038834951456
Serviceberry,0.149484536082474,0.0670103092783505,0,0,0.145066273932253,0.933726067746686,1,0.977172312223859,0,1,0.970544918998527,0.943298969072165,1,0.982326951399116
Silverbell,0.259036144578313,0.036144578313253,0,0,0.156626506024096,0.873493975903614,1,0.975903614457831,0,1,0.981927710843373,0.957831325301205,1,0.969879518072289
Smoketree,0.222222222222222,0.0555555555555556,0,0,0.111111111111111,1,1,1,0,1,0.888888888888889,0.888888888888889,1,0.944444444444444
Sophora,0.165998931623932,0.0353899572649573,0,0,0.292935363247863,0.786191239316239,0.99198717948718,0.930154914529915,0,0.997729700854701,0.922008547008547,0.936832264957265,0.99866452991453,0.934561965811966
Spruce,0.203947368421053,0.0548245614035088,0,0,0.105263157894737,0.951754385964912,0.99780701754386,0.962719298245614,0,1,0.975877192982456,0.953947368421053,1,0.989035087719298
Sweetgum,0.138494141111942,0.0354026427324857,0,0,0.303166292695088,0.866242832211419,0.99887808526552,0.966342557965595,0,0.99925205684368,0.970580902518075,0.924333084018948,0.99987534280728,0.979805534779357
Tree,0.196629213483146,0.0786516853932584,0,0,0.303370786516854,0.764044943820225,0.99438202247191,0.943820224719101,0,1,0.910112359550562,0.780898876404494,1,0.97752808988764
Tree of Heaven,0.243809523809524,0.0819047619047619,0,0,0.302857142857143,0.657142857142857,0.977142857142857,0.889523809523809,0,0.990476190476191,0.900952380952381,0.906666666666667,0.996190476190476,0.925714285714286
Treelilac,0.171539961013645,0.050125313283208,0,0,0.153717627401838,0.940128098022835,0.995265942634364,0.979949874686717,0,0.999164578111946,0.973544973544973,0.933723196881092,1,0.976886661097187
Tulip Tree,0.234769687964339,0.0832095096582467,0,0,0.185735512630015,0.912332838038633,1,0.982169390787519,0,0.99851411589896,0.973254086181278,0.955423476968796,1,0.958395245170877
Tupelo,0.182222222222222,0.0666666666666667,0,0,0.164444444444444,0.964444444444444,1,0.986666666666667,0,1,0.977777777777778,0.977777777777778,1,0.973333333333333
Turkish Hazelnut,0.23936170212766,0.106382978723404,0,0,0.117021276595745,0.914893617021277,1,0.978723404255319,0,1,0.962765957446808,0.930851063829787,0.99468085106383,0.946808510638298
Unknown,0,0,0,0,0.0000457770656900893,1,1,1,0,1,1,1,1,1
Walnut,0.178571428571429,0.0535714285714286,0,0,0.263392857142857,0.799107142857143,0.991071428571429,0.964285714285714,0,1,0.919642857142857,0.852678571428571,1,0.959821428571429
Willow,0.209944751381215,0.0607734806629834,0,0,0.248618784530387,0.762430939226519,0.994475138121547,0.961325966850829,0,1,0.933701657458563,0.883977900552486,1,0.955801104972376
Yellowwood,0.166144200626959,0.0909090909090909,0,0,0.178683385579937,0.949843260188088,1,0.971786833855799,0,1,0.978056426332288,0.956112852664577,1,0.949843260188088
Zelkova,0.125890736342043,0.0317814726840855,0,0,0.238669833729216,0.830736342042755,0.993871733966746,0.956627078384798,0,0.998717339667458,0.948883610451306,0.943467933491686,0.99938242280285,0.959429928741093
